Model,PSNR_mean,PSNR_std,MSE_mean,MSE_std,MAE_mean,MAE_std,LPIPS_mean,LPIPS_std,Time_mean,Time_std,Memory_mean,Memory_std
pruned_model_77.pth,13.690250166666669,3.131536686889431,3441.4511653333334,2052.678560508227,131.2176285,32.31013413161663,0.5721861333333333,0.1342308964401553,0.14549308333333333,0.1394427550243004,821.5925,788.1137822655517
pruned_model_78.pth,13.675916083333334,3.143429772819312,3457.7660026666667,2061.32321893231,131.62452575,32.09231329610059,0.5722704000000001,0.13418026226267846,0.14574483333333332,0.13954367722993138,821.5925,788.1137822655517
pruned_model_79.pth,13.691623666666668,3.1306195885740453,3441.4467500833334,2053.6783174758416,131.44974408333334,32.17031542259554,0.5713818666666667,0.13344181189091328,0.14545533333333333,0.1394490798695087,821.5925,788.1137822655517
pruned_model_8.pth,18.064512583333332,5.482490221910523,1679.0031134166668,1380.9556710330633,122.43198983333333,24.180008925010927,0.29321186666666665,0.1491284149473484,0.15002600000000002,0.14383185533638887,821.5925,788.1137822655517
pruned_model_80.pth,13.6824565,3.1303597831960617,3448.7988975000003,2056.772667211549,131.56809908333335,32.095463223000706,0.5730657333333333,0.13415260957582437,0.1470965,0.14106053286690037,821.5925,788.1137822655517
pruned_model_81.pth,13.65108375,3.1576472403103355,3481.8734134166666,2071.9389979451676,131.87882358333334,31.91356683373016,0.5721037333333334,0.134416766000519,0.14599975,0.13991124474206942,821.5925,788.1137822655517
pruned_model_82.pth,13.634111583333333,3.1641864131882826,3496.5961535833335,2077.236203931686,131.96644991666665,31.839903596609474,0.5693192,0.13293438579211878,0.144942,0.13883564281467184,821.5925,788.1137822655517
pruned_model_83.pth,13.634616333333334,3.1617741504438994,3494.670363,2075.328268631776,131.86399341666666,31.884862288417914,0.5686171999999999,0.13312332963089535,0.12887816666666665,0.12702848842168368,821.5925,788.1137822655517
pruned_model_84.pth,13.621264833333333,3.15093756099001,3501.4085215,2079.708886713163,131.47805025,31.91526839099834,0.5731252,0.13522869149567152,0.08672116666666667,0.07402882732220702,821.5925,788.1137822655517
pruned_model_85.pth,13.621511,3.1511972644819846,3502.2025748333335,2085.2480361045814,131.2769013333333,31.988422216643592,0.5722597333333334,0.13568323691464274,0.086723,0.07402037253773812,821.5925,788.1137822655517
pruned_model_86.pth,13.606836583333333,3.13447236250049,3508.1617741666664,2094.216311304684,130.86273741666668,32.02713041614047,0.5747025333333333,0.13648118345825727,0.08673833333333333,0.07398837395241453,821.5925,788.1137822655517
pruned_model_87.pth,13.681782583333334,3.109692179827888,3441.902039166667,2080.731562068378,129.92008325,32.74002278793888,0.5720318666666667,0.13674175112177223,0.086744,0.07400756648645933,821.5925,788.1137822655517
pruned_model_88.pth,13.66936625,3.0726446919586707,3441.059076416667,2096.5470665468424,129.30182741666667,32.9304552797551,0.5732961333333334,0.13638445991482034,0.08675166666666667,0.07400519534467759,821.5925,788.1137822655517
pruned_model_89.pth,13.636829500000001,3.0799369997314945,3467.5618015833334,2106.9252678391686,129.64160516666666,32.778079851469585,0.5716443999999999,0.1357793720678717,0.08666741666666666,0.07404407719594831,821.5925,788.1137822655517
pruned_model_9.pth,18.060166,5.463217316943757,1677.8187303333334,1378.4625417760046,123.30099499999999,24.571836819066775,0.2927094666666667,0.1491674127943788,0.08947258333333333,0.07631056572997005,821.5925,788.1137822655517
